from,to,cost
2,22,13.0
2,23,1.0
2,26,57.0
2,27,1.0
2,31,3.0
2,32,3.0
2,35,34.0
2,37,13.0
2,38,6.0
2,40,99.0
2,42,1.0
2,49,2.0
2,51,59.0
2,52,3.0
2,53,24.0
2,54,3.0
2,56,41.0
2,58,61.0
2,59,91.0
2,65,12.0
2,71,22.0
2,74,72.0
2,75,45.0
2,76,1.0
2,80,5.0
2,82,5.0
2,83,11.0
2,84,32.0
2,89,6.0
2,92,7.0
2,96,1.0
2,104,6.0
2,107,23.0
2,109,3.0
2,110,5.0
2,112,2.0
2,116,1.0
2,123,1.0
2,124,6.0
2,125,33.0
2,129,7.0
2,130,4.0
2,135,128.0
2,136,35.0
2,137,1.0
2,141,1.0
2,143,1.0
2,152,1.0
2,159,1.0
2,161,34.0
2,162,1.0
2,171,8.0
2,174,1.0
2,179,27.0
2,180,3.0
2,185,64.0
2,188,3.0
2,193,1.0
2,194,5.0
2,195,57.0
2,201,1.0
2,206,10.0
2,207,1.0
2,210,1.0
2,212,36.0
2,215,5.0
2,216,18.0
2,218,2.0
2,219,132.0
2,225,3.0
2,229,1.0
2,230,39.0
2,231,7.0
2,236,1.0
2,237,29.0
2,238,5.0
2,242,4.0
2,243,1.0
2,249,16.0
2,250,1.0
2,255,52.0
2,260,16.0
2,261,1.0
2,262,1.0
2,263,33.0
2,267,23.0
2,270,15.0
2,271,57.0
2,272,46.0
2,274,9.0
2,275,18.0
2,280,1.0
2,284,17.0
2,286,35.0
2,288,1.0
2,294,1.0
5,11,1.0
5,14,6.0
5,22,1.0
5,26,13.0
5,33,1.0
5,40,2.0
5,47,1.0
5,49,1.0
5,51,2.0
5,52,1.0
5,53,1.0
5,54,1.0
5,58,32.0
5,59,10.0
5,71,1.0
5,74,3.0
5,75,3.0
5,84,1.0
5,99,2.0
5,102,1.0
5,104,1.0
5,107,3.0
5,116,1.0
5,129,1.0
5,130,2.0
5,135,3.0
5,136,2.0
5,161,2.0
5,162,1.0
5,185,4.0
5,188,2.0
5,194,1.0
5,197,1.0
5,206,1.0
5,211,1.0
5,214,2.0
5,218,1.0
5,219,2.0
5,237,1.0
5,239,1.0
5,242,10.0
5,245,1.0
5,249,1.0
5,255,7.0
5,263,3.0
5,267,1.0
5,271,25.0
5,272,6.0
5,274,1.0
5,275,3.0
5,284,3.0
5,286,2.0
5,289,5.0
5,294,1.0
6,11,50.0
6,12,276.0
6,28,1.0
6,31,2.0
6,32,2.0
6,33,5.0
6,38,6.0
6,52,4.0
6,53,9.0
6,60,29.0
6,65,317.0
6,71,3.0
6,83,27.0
6,84,69.0
6,92,2.0
6,96,3.0
6,99,1.0
6,107,2.0
6,112,2.0
6,116,33.0
6,123,1.0
6,124,1.0
6,125,19.0
6,135,1.0
6,136,63.0
6,141,2.0
6,142,1.0
6,143,1.0
6,166,1.0
6,171,6.0
6,173,1.0
6,179,18.0
6,180,1.0
6,185,7.0
6,194,73.0
6,197,1.0
6,206,33.0
6,212,10.0
6,215,4.0
6,216,5.0
6,218,4.0
6,219,1.0
6,230,34.0
6,231,5.0
6,237,4.0
6,238,4.0
6,260,7.0
6,261,16.0
6,262,88.0
6,263,2.0
6,267,7.0
6,268,1.0
6,270,4.0
6,274,2.0
6,275,10.0
7,9,1.0
7,14,2.0
7,33,1.0
7,36,2.0
7,39,2.0
7,41,4.0
7,62,6.0
7,85,1.0
7,117,1.0
7,120,11.0
7,128,3.0
7,140,1.0
7,143,2.0
7,145,7.0
7,172,10.0
7,175,3.0
7,187,1.0
7,191,1.0
7,192,4.0
7,197,1.0
7,209,6.0
7,210,3.0
7,227,2.0
7,238,1.0
7,251,1.0
7,264,2.0
7,265,2.0
7,266,1.0
7,278,15.0
8,9,3.0
8,11,2.0
8,12,1.0
8,13,359.0
8,14,649.0
8,19,3.0
8,21,1.0
8,26,4.0
8,29,4.0
8,30,2.0
8,31,1.0
8,33,6.0
8,38,13.0
8,39,58.0
8,41,25.0
8,42,185.0
8,43,2.0
8,46,184.0
8,47,202.0
8,52,35.0
8,53,17.0
8,54,7.0
8,55,18.0
8,62,8.0
8,65,2.0
8,68,5.0
8,70,1.0
8,71,1.0
8,73,2.0
8,74,1.0
8,78,2.0
8,85,127.0
8,86,44.0
8,91,18.0
8,92,49.0
8,96,1.0
8,99,114.0
8,101,1.0
8,102,6.0
8,106,1.0
8,109,3.0
8,117,213.0
8,118,25.0
8,119,1.0
8,120,4.0
8,121,5.0
8,125,1.0
8,127,1.0
8,128,19.0
8,131,1.0
8,135,1.0
8,136,2.0
8,137,321.0
8,140,53.0
8,141,17.0
8,142,1.0
8,143,85.0
8,148,2.0
8,155,1.0
8,158,1.0
8,159,2.0
8,160,2.0
8,162,127.0
8,172,4.0
8,175,1.0
8,177,78.0
8,179,1.0
8,180,8.0
8,182,4.0
8,185,4.0
8,187,71.0
8,191,131.0
8,192,166.0
8,193,1.0
8,194,3.0
8,195,3.0
8,197,196.0
8,200,4.0
8,201,20.0
8,206,6.0
8,208,25.0
8,209,259.0
8,210,58.0
8,211,4.0
8,214,1.0
8,215,44.0
8,216,17.0
8,218,65.0
8,222,1.0
8,223,1.0
8,229,6.0
8,231,32.0
8,233,3.0
8,235,1.0
8,238,90.0
8,243,242.0
8,247,38.0
8,248,212.0
8,250,1.0
8,251,18.0
8,253,1.0
8,255,2.0
8,256,5.0
8,257,2.0
8,263,4.0
8,264,1181.0
8,265,412.0
8,266,5.0
8,267,1.0
8,268,2.0
8,270,25.0
8,274,55.0
8,275,23.0
8,278,48.0
8,279,204.0
8,280,401.0
8,281,1.0
8,282,1.0
8,284,4.0
8,285,247.0
8,286,3.0
8,288,3.0
9,18,14.0
9,24,6.0
9,36,53.0
9,39,1.0
9,41,9.0
9,42,1.0
9,43,13.0
9,50,13.0
9,61,35.0
9,62,1.0
9,67,4.0
9,68,2.0
9,73,6.0
9,85,2.0
9,93,5.0
9,95,3.0
9,98,41.0
9,113,23.0
9,114,7.0
9,120,13.0
9,121,9.0
9,140,4.0
9,143,2.0
9,144,3.0
9,145,9.0
9,147,12.0
9,150,1.0
9,168,22.0
9,172,15.0
9,175,2.0
9,176,1.0
9,182,1.0
9,186,1.0
9,191,1.0
9,199,66.0
9,204,1.0
9,210,2.0
9,222,167.0
9,223,3.0
9,227,13.0
9,235,5.0
9,238,1.0
9,243,1.0
9,252,36.0
9,253,34.0
9,254,20.0
9,256,14.0
9,257,24.0
9,265,2.0
9,266,2.0
9,270,1.0
9,278,2.0
9,281,8.0
9,282,18.0
9,287,30.0
9,292,1.0
10,22,6.0
10,23,2.0
10,26,1.0
10,31,7.0
10,32,1.0
10,35,1.0
10,37,1.0
10,38,1.0
10,40,1.0
10,56,3.0
10,59,1.0
10,65,1.0
10,71,4.0
10,74,2.0
10,76,1.0
10,80,2.0
10,82,5.0
10,83,1.0
10,84,5.0
10,104,9.0
10,107,15.0
10,125,9.0
10,135,2.0
10,136,5.0
10,137,1.0
10,160,32.0
10,171,1.0
10,185,4.0
10,194,8.0
10,195,6.0
10,206,11.0
10,212,5.0
10,215,1.0
10,216,1.0
10,218,1.0
10,219,1.0
10,225,12.0
10,230,6.0
10,231,2.0
10,237,4.0
10,249,7.0
10,260,3.0
10,261,1.0
10,267,14.0
10,270,2.0
10,272,2.0
10,286,1.0
11,12,458.0
11,13,1.0
11,21,8.0
11,22,7.0
11,26,9.0
11,27,2.0
11,30,1.0
11,31,3.0
11,32,2.0
11,33,157.0
11,35,1.0
11,38,205.0
11,42,12.0
11,47,2.0
11,51,3.0
11,52,25.0
11,53,82.0
11,60,12.0
11,65,145.0
11,71,10.0
11,74,3.0
11,75,3.0
11,76,2.0
11,78,2.0
11,83,226.0
11,84,205.0
11,92,7.0
11,96,11.0
11,99,7.0
11,104,1.0
11,107,11.0
11,109,50.0
11,116,22.0
11,117,1.0
11,119,9.0
11,121,1.0
11,123,1.0
11,124,8.0
11,125,23.0
11,128,1.0
11,135,3.0
11,136,80.0
11,139,1.0
11,141,3.0
11,142,11.0
11,159,1.0
11,161,2.0
11,162,7.0
11,171,9.0
11,177,1.0
11,178,1.0
11,179,89.0
11,180,30.0
11,185,85.0
11,187,5.0
11,191,2.0
11,192,5.0
11,193,1.0
11,194,32.0
11,195,3.0
11,197,4.0
11,200,2.0
11,201,4.0
11,206,31.0
11,209,1.0
11,212,27.0
11,215,27.0
11,216,24.0
11,218,7.0
11,219,8.0
11,225,9.0
11,229,2.0
11,230,86.0
11,231,53.0
11,236,1.0
11,237,34.0
11,238,12.0
11,243,11.0
11,255,19.0
11,260,3.0
11,261,1.0
11,262,33.0
11,263,1.0
11,264,3.0
11,265,5.0
11,267,13.0
11,270,104.0
11,271,2.0
11,272,1.0
11,274,22.0
11,275,62.0
11,284,12.0
11,286,22.0
11,288,2.0
12,14,1.0
12,21,30.0
12,22,11.0
12,23,1.0
12,26,8.0
12,27,6.0
12,28,1.0
12,30,1.0
12,31,12.0
12,32,6.0
12,33,55.0
12,35,1.0
12,37,2.0
12,38,163.0
12,40,6.0
12,42,18.0
12,47,9.0
12,51,23.0
12,52,58.0
12,53,76.0
12,56,5.0
12,58,1.0
12,59,6.0
12,60,42.0
12,65,1611.0
12,70,1.0
12,71,34.0
12,72,2.0
12,74,11.0
12,75,10.0
12,76,7.0
12,78,3.0
12,79,2.0
12,80,1.0
12,83,451.0
12,84,877.0
12,89,3.0
12,92,18.0
12,96,33.0
12,99,29.0
12,104,11.0
12,107,26.0
12,109,53.0
12,112,9.0
12,116,193.0
12,117,3.0
12,119,4.0
12,121,2.0
12,123,1.0
12,124,20.0
12,125,88.0
12,129,2.0
12,135,4.0
12,136,750.0
12,137,4.0
12,141,25.0
12,142,9.0
12,160,1.0
12,161,2.0
12,162,26.0
12,166,8.0
12,171,51.0
12,173,3.0
12,179,262.0
12,180,43.0
12,185,90.0
12,187,18.0
12,188,1.0
12,192,5.0
12,194,214.0
12,195,9.0
12,197,10.0
12,200,3.0
12,201,23.0
12,206,239.0
12,208,1.0
12,209,3.0
12,212,156.0
12,215,65.0
12,216,65.0
12,218,22.0
12,219,19.0
12,224,1.0
12,225,2.0
12,229,3.0
12,230,592.0
12,231,45.0
12,236,4.0
12,237,125.0
12,238,46.0
12,242,1.0
12,243,22.0
12,247,1.0
12,249,2.0
12,250,1.0
12,251,1.0
12,255,36.0
12,260,28.0
12,261,28.0
12,262,156.0
12,263,9.0
12,264,11.0
12,265,22.0
12,267,64.0
12,270,249.0
12,272,2.0
12,274,40.0
12,275,103.0
12,280,7.0
12,283,1.0
12,284,11.0
12,286,35.0
12,288,4.0
13,14,497.0
13,19,28.0
13,30,1.0
13,33,1.0
13,38,2.0
13,39,196.0
13,41,61.0
13,42,19.0
13,43,10.0
13,46,23.0
13,47,20.0
13,50,1.0
13,52,10.0
13,53,8.0
13,54,1.0
13,55,29.0
13,57,1.0
13,62,18.0
13,67,1.0
13,68,1.0
13,71,2.0
13,78,1.0
13,85,186.0
13,86,79.0
13,91,33.0
13,92,6.0
13,99,9.0
13,109,1.0
13,117,51.0
13,118,14.0
13,119,1.0
13,120,21.0
13,121,5.0
13,128,10.0
13,136,1.0
13,137,226.0
13,140,167.0
13,143,153.0
13,145,2.0
13,162,28.0
13,171,1.0
13,172,2.0
13,177,18.0
13,179,1.0
13,180,9.0
13,182,3.0
13,185,2.0
13,187,13.0
13,188,2.0
13,191,44.0
13,192,66.0
13,197,62.0
13,199,1.0
13,200,2.0
13,201,1.0
13,208,23.0
13,209,69.0
13,210,105.0
13,215,28.0
13,216,2.0
13,218,15.0
13,229,1.0
13,231,4.0
13,233,24.0
13,238,20.0
13,243,34.0
13,247,33.0
13,248,99.0
13,251,100.0
13,252,5.0
13,253,2.0
13,255,1.0
13,264,123.0
13,265,48.0
13,266,4.0
13,270,3.0
13,274,11.0
13,275,7.0
13,278,27.0
13,279,37.0
13,280,56.0
13,285,34.0
13,286,2.0
14,19,4.0
14,22,1.0
14,24,5.0
14,29,1.0
14,30,1.0
14,33,3.0
14,38,4.0
14,39,157.0
14,41,60.0
14,42,105.0
14,43,10.0
14,46,89.0
14,47,97.0
14,49,2.0
14,50,4.0
14,52,20.0
14,53,14.0
14,54,2.0
14,55,30.0
14,58,1.0
14,62,13.0
14,65,1.0
14,68,29.0
14,74,1.0
14,75,2.0
14,85,220.0
14,86,147.0
14,91,52.0
14,92,22.0
14,99,49.0
14,102,1.0
14,109,3.0
14,117,171.0
14,118,65.0
14,120,7.0
14,121,6.0
14,127,1.0
14,128,13.0
14,136,1.0
14,137,393.0
14,140,162.0
14,141,8.0
14,142,1.0
14,143,194.0
14,145,1.0
14,147,1.0
14,155,1.0
14,159,1.0
14,162,76.0
14,174,1.0
14,177,37.0
14,180,24.0
14,182,22.0
14,185,3.0
14,187,11.0
14,188,2.0
14,191,57.0
14,192,70.0
14,193,1.0
14,197,81.0
14,199,1.0
14,200,2.0
14,201,4.0
14,206,1.0
14,208,34.0
14,209,58.0
14,210,119.0
14,211,2.0
14,212,1.0
14,215,20.0
14,216,8.0
14,218,33.0
14,222,2.0
14,223,1.0
14,225,2.0
14,229,7.0
14,231,3.0
14,233,10.0
14,235,1.0
14,238,43.0
14,243,122.0
14,247,26.0
14,248,264.0
14,251,35.0
14,252,3.0
14,253,1.0
14,254,1.0
14,255,2.0
14,256,3.0
14,257,1.0
14,260,1.0
14,264,371.0
14,265,183.0
14,266,32.0
14,267,1.0
14,270,3.0
14,274,26.0
14,275,16.0
14,278,16.0
14,279,199.0
14,280,218.0
14,282,3.0
14,284,1.0
14,285,249.0
14,286,2.0
14,288,4.0
14,294,2.0
18,19,33.0
18,24,40.0
18,39,9.0
18,41,6.0
18,43,22.0
18,46,1.0
18,50,23.0
18,55,4.0
18,61,6.0
18,62,3.0
18,67,145.0
18,68,5.0
18,73,91.0
18,85,2.0
18,91,5.0
18,92,12.0
18,93,32.0
18,95,2.0
18,98,6.0
18,102,1.0
18,113,32.0
18,114,3.0
18,117,1.0
18,120,6.0
18,121,5.0
18,137,1.0
18,140,2.0
18,143,2.0
18,144,11.0
18,145,4.0
18,168,2.0
18,177,1.0
18,182,9.0
18,192,3.0
18,199,4.0
18,208,7.0
18,210,2.0
18,218,1.0
18,222,2.0
18,229,1.0
18,233,4.0
18,235,45.0
18,243,1.0
18,252,15.0
18,253,43.0
18,254,26.0
18,256,12.0
18,257,29.0
18,281,3.0
18,282,5.0
18,287,2.0
18,291,3.0
19,24,55.0
19,33,1.0
19,36,1.0
19,38,1.0
19,39,32.0
19,41,51.0
19,42,2.0
19,43,149.0
19,47,1.0
19,50,79.0
19,55,5.0
19,62,9.0
19,67,31.0
19,68,64.0
19,73,97.0
19,85,5.0
19,91,26.0
19,93,2.0
19,99,1.0
19,113,2.0
19,117,5.0
19,118,1.0
19,120,6.0
19,121,8.0
19,127,1.0
19,135,1.0
19,137,22.0
19,140,45.0
19,142,1.0
19,143,16.0
19,144,4.0
19,145,6.0
19,177,1.0
19,181,1.0
19,182,30.0
19,197,2.0
19,199,9.0
19,208,20.0
19,210,18.0
19,218,1.0
19,222,3.0
19,223,1.0
19,225,2.0
19,227,1.0
19,229,1.0
19,231,1.0
19,233,83.0
19,235,8.0
19,238,1.0
19,243,1.0
19,252,7.0
19,253,23.0
19,254,3.0
19,256,14.0
19,257,12.0
19,264,1.0
19,265,1.0
19,266,5.0
19,278,1.0
19,280,3.0
19,281,3.0
19,282,16.0
19,287,3.0
19,291,4.0
19,292,1.0
21,22,33.0
21,26,178.0
21,27,1.0
21,28,1.0
21,30,2.0
21,31,3.0
21,32,1.0
21,33,5.0
21,35,1.0
21,37,3.0
21,38,48.0
21,40,5.0
21,42,4.0
21,47,3.0
21,49,1.0
21,51,32.0
21,52,18.0
21,53,58.0
21,54,6.0
21,56,12.0
21,58,10.0
21,59,3.0
21,65,4.0
21,71,37.0
21,74,133.0
21,75,63.0
21,80,2.0
21,83,45.0
21,84,37.0
21,92,4.0
21,99,1.0
21,102,1.0
21,104,2.0
21,107,11.0
21,109,15.0
21,110,7.0
21,116,1.0
21,118,4.0
21,123,1.0
21,124,13.0
21,125,8.0
21,135,40.0
21,136,25.0
21,137,1.0
21,141,1.0
21,142,7.0
21,143,1.0
21,152,1.0
21,159,3.0
21,160,1.0
21,161,37.0
21,162,12.0
21,171,2.0
21,178,2.0
21,179,67.0
21,180,8.0
21,185,217.0
21,187,3.0
21,191,2.0
21,193,2.0
21,194,3.0
21,195,19.0
21,206,2.0
21,210,1.0
21,212,14.0
21,215,6.0
21,216,4.0
21,218,2.0
21,219,38.0
21,225,3.0
21,229,1.0
21,230,28.0
21,231,1.0
21,236,20.0
21,237,55.0
21,238,7.0
21,242,6.0
21,243,2.0
21,249,2.0
21,255,281.0
21,260,2.0
21,261,1.0
21,262,2.0
21,263,31.0
21,264,4.0
21,265,1.0
21,267,8.0
21,268,2.0
21,270,10.0
21,271,4.0
21,274,10.0
21,275,45.0
21,276,1.0
21,280,2.0
21,284,11.0
21,286,120.0
21,288,3.0
21,294,1.0
22,26,26.0
22,28,7.0
22,30,2.0
22,31,8.0
22,32,9.0
22,33,3.0
22,35,14.0
22,37,2.0
22,38,16.0
22,40,13.0
22,42,2.0
22,47,2.0
22,49,1.0
22,51,58.0
22,52,6.0
22,53,10.0
22,54,2.0
22,56,19.0
22,58,9.0
22,59,15.0
22,60,3.0
22,65,10.0
22,71,117.0
22,74,35.0
22,75,73.0
22,79,1.0
22,80,1.0
22,82,1.0
22,83,28.0
22,84,66.0
22,92,2.0
22,96,1.0
22,99,2.0
22,100,1.0
22,104,17.0
22,107,23.0
22,109,9.0
22,112,2.0
22,116,6.0
22,119,1.0
22,123,1.0
22,124,7.0
22,125,88.0
22,129,3.0
22,135,24.0
22,136,97.0
22,137,3.0
22,141,4.0
22,142,3.0
22,155,1.0
22,160,3.0
22,161,7.0
22,162,4.0
22,166,1.0
22,171,3.0
22,179,89.0
22,185,74.0
22,187,1.0
22,192,2.0
22,194,11.0
22,195,35.0
22,200,1.0
22,201,1.0
22,206,39.0
22,212,164.0
22,215,8.0
22,216,1.0
22,218,1.0
22,219,78.0
22,225,1.0
22,230,131.0
22,231,3.0
22,236,19.0
22,237,113.0
22,238,3.0
22,243,4.0
22,249,8.0
22,255,65.0
22,260,10.0
22,261,6.0
22,262,6.0
22,263,4.0
22,265,2.0
22,267,48.0
22,270,3.0
22,271,2.0
22,272,13.0
22,274,4.0
22,275,31.0
22,280,1.0
22,284,2.0
22,286,8.0
22,288,1.0
23,28,4.0
23,65,2.0
23,72,2.0
23,76,75.0
23,84,1.0
23,96,2.0
23,112,16.0
23,116,1.0
23,131,9.0
23,136,1.0
23,139,9.0
23,166,18.0
23,171,4.0
23,173,3.0
23,194,2.0
23,206,25.0
23,212,1.0
23,224,1.0
23,230,7.0
23,238,1.0
23,260,1.0
23,261,2.0
23,262,2.0
24,31,1.0
24,36,1.0
24,39,8.0
24,41,16.0
24,42,1.0
24,43,192.0
24,47,2.0
24,48,5.0
24,50,33.0
24,55,5.0
24,62,10.0
24,67,65.0
24,68,14.0
24,73,195.0
24,78,1.0
24,85,2.0
24,86,1.0
24,91,24.0
24,93,26.0
24,99,2.0
24,113,15.0
24,114,6.0
24,117,4.0
24,118,3.0
24,120,4.0
24,121,7.0
24,127,1.0
24,137,9.0
24,140,10.0
24,143,5.0
24,144,8.0
24,145,1.0
24,157,1.0
24,162,1.0
24,168,1.0
24,172,1.0
24,174,1.0
24,182,25.0
24,197,1.0
24,199,6.0
24,208,10.0
24,210,5.0
24,216,1.0
24,222,2.0
24,227,6.0
24,233,28.0
24,235,21.0
24,238,1.0
24,243,2.0
24,251,1.0
24,252,7.0
24,253,65.0
24,254,8.0
24,256,19.0
24,257,101.0
24,270,1.0
24,278,2.0
24,279,2.0
24,280,2.0
24,281,8.0
24,282,30.0
24,291,5.0
26,27,1.0
26,29,1.0
26,30,2.0
26,31,1.0
26,32,7.0
26,33,28.0
26,35,16.0
26,37,5.0
26,38,76.0
26,40,22.0
26,42,10.0
26,46,2.0
26,47,7.0
26,51,43.0
26,52,34.0
26,53,95.0
26,54,3.0
26,56,11.0
26,58,32.0
26,59,27.0
26,65,4.0
26,71,58.0
26,74,302.0
26,75,64.0
26,78,7.0
26,79,1.0
26,80,1.0
26,83,43.0
26,84,18.0
26,89,2.0
26,92,5.0
26,96,1.0
26,99,2.0
26,102,5.0
26,104,14.0
26,107,22.0
26,109,66.0
26,110,46.0
26,112,2.0
26,116,1.0
26,117,2.0
26,119,2.0
26,123,16.0
26,124,110.0
26,125,21.0
26,128,1.0
26,129,5.0
26,135,117.0
26,136,11.0
26,137,2.0
26,141,4.0
26,142,15.0
26,152,1.0
26,153,2.0
26,155,4.0
26,158,1.0
26,159,3.0
26,160,1.0
26,161,214.0
26,162,18.0
26,171,3.0
26,173,1.0
26,174,1.0
26,179,54.0
26,180,5.0
26,181,1.0
26,185,884.0
26,187,1.0
26,191,4.0
26,192,4.0
26,193,2.0
26,194,6.0
26,195,35.0
26,197,2.0
26,206,16.0
26,207,6.0
26,210,2.0
26,211,7.0
26,212,25.0
26,214,2.0
26,215,24.0
26,216,34.0
26,218,8.0
26,219,74.0
26,225,38.0
26,229,7.0
26,230,30.0
26,231,4.0
26,236,12.0
26,237,26.0
26,238,11.0
26,242,6.0
26,243,8.0
26,249,5.0
26,250,2.0
26,255,919.0
26,260,4.0
26,261,6.0
26,262,2.0
26,263,505.0
26,264,12.0
26,265,2.0
26,267,31.0
26,268,10.0
26,270,28.0
26,271,25.0
26,272,18.0
26,274,21.0
26,275,71.0
26,280,1.0
26,284,206.0
26,286,471.0
26,288,20.0
26,289,2.0
26,294,2.0
27,28,4.0
27,31,23.0
27,32,58.0
27,33,2.0
27,38,1.0
27,40,1.0
27,53,1.0
27,58,1.0
27,59,1.0
27,60,1.0
27,65,11.0
27,71,3.0
27,74,1.0
27,76,5.0
27,79,26.0
27,82,1.0
27,83,1.0
27,84,3.0
27,96,8.0
27,104,21.0
27,107,16.0
27,112,20.0
27,116,9.0
27,124,1.0
27,125,15.0
27,131,3.0
27,136,7.0
27,142,1.0
27,157,1.0
27,166,25.0
27,171,51.0
27,173,5.0
27,179,5.0
27,185,4.0
27,192,1.0
27,194,22.0
27,195,2.0
27,206,61.0
27,212,8.0
27,216,1.0
27,219,1.0
27,224,67.0
27,230,34.0
27,231,2.0
27,237,2.0
27,242,1.0
27,243,2.0
27,249,3.0
27,250,28.0
27,260,81.0
27,261,202.0
27,262,2.0
27,263,1.0
27,267,53.0
27,270,3.0
27,275,2.0
27,284,1.0
27,286,1.0
28,32,1.0
28,33,1.0
28,38,1.0
28,40,2.0
28,65,2.0
28,76,23.0
28,84,2.0
28,89,1.0
28,96,10.0
28,104,1.0
28,107,1.0
28,112,32.0
28,116,1.0
28,125,1.0
28,131,4.0
28,136,3.0
28,139,1.0
28,166,49.0
28,171,3.0
28,187,1.0
28,194,5.0
28,195,1.0
28,206,6.0
28,212,2.0
28,216,1.0
28,224,2.0
28,229,1.0
28,230,5.0
28,260,2.0
28,263,1.0
28,270,6.0
29,30,106.0
29,41,1.0
29,42,3.0
29,46,1.0
29,47,1.0
29,51,1.0
29,52,1.0
29,53,1.0
29,54,10.0
29,78,22.0
29,92,1.0
29,101,109.0
29,102,209.0
29,106,25.0
29,117,2.0
29,152,13.0
29,153,5.0
29,155,10.0
29,158,21.0
29,159,69.0
